month,week_of_month,product_macro_group,price_mean,price_volatility,price_sources,price_change_pct,price_regime
2026-01,1,aquatic,35.69913793103448,0.26801975769939024,1,0.0,price_stable
2026-01,2,aquatic,35.399655172413794,0.06522550177687128,1,-0.008389075366448395,price_stable
2026-01,3,aquatic,35.85129310344828,0.3208664757465144,1,0.012758257921857918,price_stable
2026-01,4,aquatic,36.21682729148246,0.25091020639327255,1,0.010195843898278323,price_stable
2026-01,5,aquatic,36.57692307692308,0.08158924398306415,1,0.009942775565139339,price_stable
2026-02,1,aquatic,37.61732242852933,0.2640585672389034,1,0.02844414631100145,price_stable
2026-02,2,aquatic,39.13326149425287,0.6534565448859646,1,0.040298962495370017,price_rising
2026-02,4,aquatic,40.519026548672564,0.26753725085233354,1,0.035411437777124855,price_rising
2026-03,1,aquatic,40.476460176991154,0.09718127802621826,1,-0.0010505279940592471,price_stable
2026-03,2,aquatic,39.91681415929204,0.1710035312223111,1,-0.013826456544172916,price_stable
2026-03,3,aquatic,39.422123893805306,0.14733084785521158,1,-0.012393029752139517,price_stable
2026-03,4,aquatic,39.13716814159292,0.04410929654286443,1,-0.007228320650099707,price_stable
2026-03,5,aquatic,37.93770741150442,1.4366039734477194,1,-0.030647611644997408,price_falling
2026-04,1,aquatic,36.689732142857146,0.13220618656214989,1,-0.03289537913060159,price_falling
2026-04,2,aquatic,37.43928571428571,0.0699911164188035,1,0.020429518768631638,price_stable
2026-04,3,aquatic,36.9625,0.4552296521455965,1,-0.012734904130496938,high_volatility
2026-04,4,aquatic,36.315625,0.21295391571144212,1,-0.017500845451471125,price_stable
2026-04,5,aquatic,36.715401785714285,0.48140082201316153,1,0.011008396130158582,high_volatility
2026-01,1,meats,17.78054464285714,0.29216418248971443,2,0.0,high_volatility
2026-01,2,meats,17.976303571428573,0.2964185780218597,2,0.011009726220623683,high_volatility
2026-01,3,meats,18.37905357142857,0.2747791818186611,2,0.02240449480615836,price_stable
2026-01,4,meats,18.826821428571428,0.1543638596504378,2,0.024362944229018524,price_stable
2026-01,5,meats,19.072910714285715,0.050273854628263455,2,0.01307120730113387,price_stable
2026-02,1,meats,18.960223214285715,0.08115991698268243,2,-0.0059082487035183595,price_stable
2026-02,2,meats,18.852223214285715,0.02845851252492326,2,-0.005696135471581765,price_stable
2026-02,3,meats,18.98,0.0,1,0.006777809930526457,price_stable
2026-02,4,meats,18.23279761904762,0.14651945205307035,2,-0.039367880977470016,price_falling
2026-03,1,meats,18.0814375,0.12578292095253907,2,-0.008301530144199876,price_stable
2026-03,2,meats,17.875276785714284,0.19415144834462336,2,-0.011401787843788203,price_stable
2026-03,3,meats,17.829169642857142,0.23537641195004658,2,-0.0025793806389611262,price_stable
2026-03,4,meats,17.7670625,0.3355293247265533,2,-0.0034834568351320705,high_volatility
2026-03,5,meats,17.943285714285715,0.0023419423301094815,1,0.00991853404498988,price_stable
2026-04,1,meats,17.7380625,0.4925820430657976,2,-0.011437326337746634,high_volatility
2026-04,2,meats,17.731651785714284,0.6401432561488553,2,-0.00036141006300538514,high_volatility
2026-04,3,meats,17.85474107142857,0.7849923872330532,2,0.006941783382722111,high_volatility
2026-04,4,meats,18.0185,0.7727736101072137,2,0.009171733598168919,high_volatility
2026-04,5,meats,18.291464285714284,0.0027779194975191034,1,0.015149112618380256,price_stable
2026-01,1,other,6.0928571428571425,0.08603427191278246,1,0.0,price_stable
2026-01,2,other,11.98479978675351,8.76891868020316,1,0.5,price_rising
2026-01,3,other,11.95264578599493,8.825156044116797,1,-0.0026828984489267738,price_stable
2026-01,4,other,5.870148795304075,0.01595787675193441,1,-0.5,price_falling
2026-01,5,other,15.864901797763642,9.581534604553337,1,0.5,price_rising
2026-02,1,other,5.874092970521542,0.013280169069787786,1,-0.5,price_falling
2026-02,2,other,11.819072096103522,8.732732645968607,1,0.5,price_rising
2026-02,3,other,5.869318181818182,0.0,1,-0.5,price_falling
2026-02,4,other,13.651825743589619,9.724986948684634,1,0.5,price_rising
2026-03,1,other,6.138185460230604,0.3904010838783736,1,-0.5,price_falling
2026-03,2,other,12.623166465213043,8.881457397058837,1,0.5,price_rising
2026-03,3,other,12.68106633616354,8.818942552733976,1,0.004586794534481964,price_stable
2026-03,4,other,6.445259543699749,0.07263957210413766,1,-0.4917415166168382,price_falling
2026-03,5,other,14.949858495458514,12.45160596688463,1,0.5,price_rising
2026-04,1,other,6.600302636945083,0.1033036199791468,1,-0.5,price_falling
2026-04,2,other,11.681437940081564,10.252249167598368,1,0.5,price_rising
2026-04,3,other,11.777173044494198,10.182580856235298,1,0.008195489708004766,price_stable
2026-04,4,other,7.069250181462164,0.1338831501314746,1,-0.3997498249576097,price_falling
2026-04,5,other,16.32891608708428,12.310321443442529,1,0.5,price_rising
2026-01,1,staple,5.37,0.0,1,0.0,price_stable
2026-01,2,staple,5.37,0.0,1,0.0,price_stable
2026-01,3,staple,5.36,0.0,1,-0.0018621973929235924,price_stable
2026-01,4,staple,5.34,0.0,1,-0.003731343283582156,price_stable
2026-01,5,staple,5.34,0.0,1,0.0,price_stable
2026-02,1,staple,5.33,0.0,1,-0.0018726591760299671,price_stable
2026-02,2,staple,5.33,0.0,1,0.0,price_stable
2026-02,3,staple,5.32,0.0,1,-0.0018761726078798668,price_stable
2026-02,4,staple,5.32,0.0,1,0.0,price_stable
2026-03,1,staple,5.31,0.0,1,-0.001879699248120481,price_stable
2026-03,2,staple,5.3,0.0,1,-0.0018832391713746732,price_stable
2026-03,3,staple,5.3,0.0,1,0.0,price_stable
2026-03,4,staple,5.31,0.0,1,0.0018867924528300772,price_stable
2026-04,1,staple,5.3,0.0,1,-0.0018832391713746732,price_stable
2026-04,2,staple,5.3,0.0,1,0.0,price_stable
2026-04,3,staple,5.31,0.0,1,0.0018867924528300772,price_stable
2026-04,4,staple,5.31,0.0,1,0.0,price_stable
2026-01,1,vegetables,3.9362843483850236,0.7272479683265883,2,0.0,price_stable
2026-01,2,vegetables,4.273835264746583,1.1624538726090206,2,0.08575369218436912,price_rising
2026-01,3,vegetables,4.349893950198189,1.0515107280761926,2,0.017796354033340567,price_stable
2026-01,4,vegetables,4.014764080829182,0.7090036192414285,2,-0.0770432275374755,price_falling
2026-01,5,vegetables,4.877812411488132,1.36240361437014,2,0.2149686291107551,price_rising
2026-02,1,vegetables,3.778795697412823,0.7211764517105113,2,-0.22530934389500612,price_falling
2026-02,2,vegetables,4.101323378709311,1.0709639415661192,2,0.08535197642923875,price_rising
2026-02,3,vegetables,4.13765306122449,1.2664339402555649,2,0.008858039018277086,price_stable
2026-02,4,vegetables,4.186688664816178,1.2335578007589467,2,0.011851066985586467,price_stable
2026-03,1,vegetables,3.369074418563595,0.625751252692718,2,-0.1952890008573116,price_falling
2026-03,2,vegetables,3.6690682342871455,0.9205781319010823,2,0.08904339247319237,price_rising
2026-03,3,vegetables,3.535037066218898,0.9192906136048966,2,-0.03653002874564637,price_falling
2026-03,4,vegetables,3.117009046778464,0.6650288301654312,2,-0.1182527966779029,price_falling
2026-03,5,vegetables,3.3671120543784556,1.1894295974641886,1,0.0802381397829055,price_rising
2026-04,1,vegetables,2.8495384553890952,0.7138420203201556,2,-0.15371439697598677,price_falling
2026-04,2,vegetables,3.0171051062889207,0.9070566463293086,2,0.05880483928297964,price_rising
2026-04,3,vegetables,2.930941419195599,0.9121427005310629,2,-0.02855839755589562,price_stable
2026-04,4,vegetables,2.6696079588728105,0.6964620792211996,2,-0.08916365868360199,price_falling
2026-04,5,vegetables,3.388591992802519,1.3567416535900156,1,0.2693219547612098,price_rising
